eval_count,mutation_size
300,3
500,4
700,5
900,6
1100,7
1300,8
1500,9
1700,10
1900,11
2100,11
2300,12
2500,13
2700,14
2900,15
3100,16
3300,17
3500,18
3700,19
3900,20
4100,21
4300,22
4500,23
4700,24
4900,25
5100,26
5300,27
5500,28
5700,29
5900,30
6100,31
6300,32
6500,33
6700,34
6900,35
7100,36
7300,37
7500,38
7700,39
7900,40
8100,41
8300,42
8500,43
8700,43
8900,44
9100,45
9300,46
9500,47
9700,48
9900,49
10000,50
